Task,Start,End,Complete
Agree initial scope,Tue 25/04/17,Tue 25/04/17,100\%
Learning,Fri 05/05/17,Fri 02/06/17,100\%
\textit{Literature Review},Fri 05/05/17,Tue 30/05/17,100\%
\textit{LaTeX},Fri 05/05/17,Fri 02/06/17,100\%
\textit{Java Spring},Thu 18/05/17,Fri 26/05/17,100\%
\textit{Databases},Wed 17/05/17,Fri 26/05/17,100\%
Organisation,Wed 03/05/17,Fri 05/05/17,100\%
\textit{Git structure},Wed 03/05/17,Wed 03/05/17,100\%
\textit{Outline plan},Fri 05/05/17,Fri 05/05/17,100\%
Ethics Form,Mon 08/05/17,Mon 08/05/17,100\%
Interim Report,Mon 05/06/17,Wed 14/06/17,100\%
Component Models,Wed 10/05/17,Tue 06/06/17,100\%
System Models,Tue 09/05/17,Tue 20/06/17,89\%
Build Applications,Wed 21/06/17,Tue 25/07/17,0\%
\textit{Simple Microservices},Wed 21/06/17,Thu 29/06/17,0\%
\textit{Shared Queue + Distributed DB},Fri 30/06/17,Wed 12/07/17,0\%
\textit{Shared Queue + Distributed DB with replication},Thu 13/07/17,Tue 25/07/17,0\%
Presentation,Wed 26/07/17,Fri 11/08/17,0\%
Dissertation,Thu 15/06/17,Fri 25/08/17,0\%
\textit{Introduction and Background},Thu 15/06/17,Mon 19/06/17,0\%
\textit{Models},Wed 21/06/17,Tue 27/06/17,0\%
\textit{Application Report},Wed 26/07/17,Tue 01/08/17,0\%
\textit{Conclusions},Wed 02/08/17,Fri 04/08/17,0\%
\textit{Ready for review},Fri 04/08/17,Fri 04/08/17,0\%
\textit{Review updates},Mon 14/08/17,Fri 18/08/17,0\%
\textit{Dissertation Due},Fri 25/08/17,Fri 25/08/17,0\%
